,base_model,predicted_model,expected_f1_score,expected_precision,expected_recall,SEMANTIC_SIMILARITY,comparit_precision,comparit_recall,comparit_f1_score,SEMANTIC_SIMILARITY_ERROR,COMPARIT_ERROR
0,evaluate_travis/tracee_binding_autoconfigure,evaluate_travis/tracee_binding_autoconfigure/base_model/mutant_4,0.9142857143,1.0,0.8421052632,0.9930829550627005,1.0,0.84210527,0.9142857,0.0788,0.0
1,evaluate_travis/tracee_binding_autoconfigure,evaluate_travis/tracee_binding_autoconfigure/base_model/mutant_8,0.9444444444,1.0,0.8947368421,0.9983088518773151,1.0,0.8947368,0.9444445,0.05386,0.0
2,evaluate_travis/tracee_binding_autoconfigure,evaluate_travis/tracee_binding_autoconfigure/base_model/mutant_3,0.6451612903323621,0.8333333333,0.5263157895,0.9662271939887834,0.8333333,0.5263158,0.6451613,0.32107,0.0
3,evaluate_travis/tracee_binding_autoconfigure,evaluate_travis/tracee_binding_autoconfigure/base_model/mutant_1,1.0,1.0,1.0,1.0000000000000004,1.0,1.0,1.0,0.0,0.0
4,evaluate_travis/tracee_binding_autoconfigure,evaluate_travis/tracee_binding_autoconfigure/base_model/mutant_10,0.8823529412,1.0,0.7894736842,0.9937989755038956,1.0,0.7894737,0.88235295,0.11145,0.0
5,evaluate_travis/tracee_binding_autoconfigure,evaluate_travis/tracee_binding_autoconfigure/base_model/mutant_2,0.0,0.0,0.0,0.9277377756972169,0.0,0.0,0.0,0.92774,0.0
6,evaluate_travis/tracee_binding_autoconfigure,evaluate_travis/tracee_binding_autoconfigure/base_model/mutant_9,0.7647058823560554,0.8666666667,0.6842105263,0.9827837708137578,0.8666667,0.68421054,0.7647059,0.21808,0.0
7,evaluate_travis/tracee_binding_autoconfigure,evaluate_travis/tracee_binding_autoconfigure/base_model/mutant_5,0.6875000000003906,0.8461538462,0.5789473684,0.9762988896924204,0.84615386,0.57894737,0.68749994,0.2888,0.0
8,evaluate_travis/tracee_binding_autoconfigure,evaluate_travis/tracee_binding_autoconfigure/base_model/mutant_6,0.7272727272782369,0.8571428571,0.6315789474,0.9738398476455529,0.85714287,0.6315789,0.7272726,0.24657,0.0
9,evaluate_travis/tracee_binding_autoconfigure,evaluate_travis/tracee_binding_autoconfigure/base_model/mutant_7,0.972972973,1.0,0.9473684211,0.9965630257049123,1.0,0.94736844,0.972973,0.02359,0.0
10,evaluate_travis/tracee_binding_springws,evaluate_travis/tracee_binding_springws/base_model/mutant_4,0.516129032283871,0.6666666667,0.4210526316,0.78039623618229,0.6666667,0.42105263,0.516129,0.26427,0.0
11,evaluate_travis/tracee_binding_springws,evaluate_travis/tracee_binding_springws/base_model/mutant_8,0.5624999999789062,0.6923076923,0.4736842105,0.7936412691812729,0.6923077,0.47368422,0.56250006,0.23114,0.0
12,evaluate_travis/tracee_binding_springws,evaluate_travis/tracee_binding_springws/base_model/mutant_3,0.41379310346,0.6,0.3157894737,0.773664215967772,0.6,0.31578946,0.41379312,0.35987,0.0
13,evaluate_travis/tracee_binding_springws,evaluate_travis/tracee_binding_springws/base_model/mutant_1,1.0,1.0,1.0,1.0000000000000004,1.0,1.0,1.0,0.0,0.0
14,evaluate_travis/tracee_binding_springws,evaluate_travis/tracee_binding_springws/base_model/mutant_10,0.9142857143,1.0,0.8421052632,0.996722014635002,1.0,0.84210527,0.9142857,0.08244,0.0
15,evaluate_travis/tracee_binding_springws,evaluate_travis/tracee_binding_springws/base_model/mutant_2,0.0,0.0,0.0,0.364096806290083,0.0,0.0,0.0,0.3641,0.0
16,evaluate_travis/tracee_binding_springws,evaluate_travis/tracee_binding_springws/base_model/mutant_9,0.9444444444,1.0,0.8947368421,0.9996298183433098,1.0,0.8947368,0.9444445,0.05519,0.0
17,evaluate_travis/tracee_binding_springws,evaluate_travis/tracee_binding_springws/base_model/mutant_5,0.4666666666511111,0.6363636364,0.3684210526,0.7793630249514424,0.6363636,0.36842105,0.46666667,0.3127,0.0
18,evaluate_travis/tracee_binding_springws,evaluate_travis/tracee_binding_springws/base_model/mutant_6,0.9142857143,1.0,0.8421052632,0.9990360388326562,1.0,0.84210527,0.9142857,0.08475,0.0
19,evaluate_travis/tracee_binding_springws,evaluate_travis/tracee_binding_springws/base_model/mutant_7,0.972972973,1.0,0.9473684211,0.999725878301042,1.0,0.94736844,0.972973,0.02675,0.0
20,evaluate_travis/solr,evaluate_travis/solr/base_model/mutant_4,0.7272727272,1.0,0.5714285714,0.8140520670970782,1.0,0.5714286,0.72727275,0.08678,0.0
21,evaluate_travis/solr,evaluate_travis/solr/base_model/mutant_8,0.8333333333,1.0,0.7142857143,0.8911132525511191,1.0,0.71428573,0.8333334,0.05778,0.0
22,evaluate_travis/solr,evaluate_travis/solr/base_model/mutant_3,0.6,1.0,0.4285714286,0.7195717007126134,1.0,0.42857143,0.59999996,0.11957,0.0
23,evaluate_travis/solr,evaluate_travis/solr/base_model/mutant_1,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.0,0.0
24,evaluate_travis/solr,evaluate_travis/solr/base_model/mutant_10,0.7272727272,1.0,0.5714285714,0.8178752506693897,1.0,0.5714286,0.72727275,0.0906,0.0
25,evaluate_travis/solr,evaluate_travis/solr/base_model/mutant_2,0.0,0.0,0.0,0.7045503161480475,0.0,0.0,0.0,0.70455,0.0
26,evaluate_travis/solr,evaluate_travis/solr/base_model/mutant_9,0.9230769231,1.0,0.8571428571,0.9715327166916073,1.0,0.85714287,0.9230769,0.04846,0.0
27,evaluate_travis/solr,evaluate_travis/solr/base_model/mutant_5,0.7272727272,1.0,0.5714285714,0.806650891079789,1.0,0.5714286,0.72727275,0.07938,0.0
28,evaluate_travis/solr,evaluate_travis/solr/base_model/mutant_6,0.8333333333,1.0,0.7142857143,0.9042716963948283,1.0,0.71428573,0.8333334,0.07094,0.0
29,evaluate_travis/solr,evaluate_travis/solr/base_model/mutant_7,0.9230769231,1.0,0.8571428571,0.9680193811583243,1.0,0.85714287,0.9230769,0.04494,0.0
30,evaluate_travis/future-benchmark,evaluate_travis/future-benchmark/base_model/mutant_4,0.09929078011899804,0.1627906977,0.0714285714,0.9997008986543211,0.13953489,0.06122449,0.08510638,0.90041,0.014
31,evaluate_travis/future-benchmark,evaluate_travis/future-benchmark/base_model/mutant_8,0.11267605637147392,0.1818181818,0.0816326531,0.9997017121426162,0.1590909,0.071428575,0.09859156,0.88703,0.014
32,evaluate_travis/future-benchmark,evaluate_travis/future-benchmark/base_model/mutant_3,0.09929078011899804,0.1627906977,0.0714285714,0.9997008986543211,0.13953489,0.06122449,0.08510638,0.90041,0.014
33,evaluate_travis/future-benchmark,evaluate_travis/future-benchmark/base_model/mutant_1,1.0,1.0,1.0,1.0,0.9897959,0.9897959,0.9897959,0.0,0.01
34,evaluate_travis/future-benchmark,evaluate_travis/future-benchmark/base_model/mutant_10,0.9312169312159122,0.967032967,0.8979591837,0.9999995798926061,0.95604396,0.8877551,0.92063487,0.06878,0.011
35,evaluate_travis/future-benchmark,evaluate_travis/future-benchmark/base_model/mutant_2,0.0,0.0,0.0,0.16875941745735684,0.0,0.0,0.0,0.16876,0.0
36,evaluate_travis/future-benchmark,evaluate_travis/future-benchmark/base_model/mutant_9,1.0,1.0,1.0,1.0,0.9897959,0.9897959,0.9897959,0.0,0.01
